,question,qtype,qtype_coarse,qtype_fine
96,"What company 's logo is a `` W '' in a circle ?
",HUM:gr,HUM,gr
97,"What is the definition of a cascade ?
",DESC:def,DESC,def
98,"When did Rococo painting and architecture flourish ?
",NUM:date,NUM,date
99,"What country 's national passenger rail system is called Via ?
",LOC:country,LOC,country
100,"Who invented Make-up ?
",HUM:ind,HUM,ind
101,"What is the origin of the word `` attic '' ?
",DESC:desc,DESC,desc
102,"What did Delilah do to Samson 's hair ?
",DESC:desc,DESC,desc
103,"What kind of animals were in the Paleozoic era ?
",ENTY:animal,ENTY,animal
104,"Which of the following was Rhodes Scholar ?
",HUM:ind,HUM,ind
105,"Who comprised the now-defunct comic book team known as the Champions ?
",HUM:ind,HUM,ind
106,"How do you make a paintball ?
",DESC:manner,DESC,manner
107,"What U.S. state is Fort Knox in ?
",LOC:state,LOC,state
108,"What is a female rabbit called ?
",ENTY:animal,ENTY,animal
109,"Where is the highest point in Japan ?
",LOC:mount,LOC,mount
110,"Where do chihuahuas come from ?
",DESC:desc,DESC,desc
111,"Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?
",LOC:other,LOC,other
112,"What are the world 's four oceans ?
",LOC:other,LOC,other
113,"What 's the only work by Michelangelo that bears his signature ?
",ENTY:cremat,ENTY,cremat
114,"What is the largest snake in the world ?
",ENTY:animal,ENTY,animal
115,"In what medium is Stuart Hamblen considered to be the first singing cowboy ?
",ENTY:cremat,ENTY,cremat
116,"Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?
",LOC:other,LOC,other
117,"How much money does a back injury lawsuit get ?
",NUM:money,NUM,money
118,"What 's the common name for acetylsalicylic acid ?
",ENTY:termeq,ENTY,termeq
119,"What does the Georgetown `` Hoya '' mean ?
",DESC:def,DESC,def
120,"Where can I find a list of `` classic '' books 5th and 6th graders should read ?
",LOC:other,LOC,other
121,"Which two products use a tiger as their symbol ?
",ENTY:product,ENTY,product
122,"How is the election of a new Pope announced to the world ?
",DESC:manner,DESC,manner
123,"How long does it take for your blood to make one complete trip through the body ?
",NUM:period,NUM,period
124,"How do chickens have baby chicks ?
",DESC:manner,DESC,manner
125,"What is the historical relationship of Catholic Church and bingo ?
",DESC:desc,DESC,desc
126,"How was the element calcium named ?
",DESC:manner,DESC,manner
127,"What crooner joined The Andrews Sisters for Pistol Packin Mama ?
",HUM:ind,HUM,ind
128,"What piano company claims its product is the `` Instrument of the immortals '' ?
",HUM:gr,HUM,gr
129,"When did the Bounty mutiny take place ?
",NUM:date,NUM,date
130,"What novel inspired the movie BladeRunner ?
",ENTY:cremat,ENTY,cremat
131,"What is a transistor ?
",DESC:def,DESC,def
132,"What is a film starring Jude Law ?
",ENTY:cremat,ENTY,cremat
133,"What Hollywood dog died in the arms of Jean Harlow in 1932 ?
",ENTY:animal,ENTY,animal
134,"What are the most common elements in the Earth 's crust ?
",ENTY:substance,ENTY,substance
135,"How much would it cost to purchase a 2-foot-square party tent , with sides , ?
",NUM:money,NUM,money
136,"What actress has received the most Oscar nominations ?
",HUM:ind,HUM,ind
137,"What are equity securities ?
",DESC:def,DESC,def
138,"What is gymnophobia ?
",DESC:def,DESC,def
139,"How many years do fossils take to form ?
",NUM:count,NUM,count
140,"Where is the Orinoco ?
",LOC:other,LOC,other
141,"What was the name of the `` Little Rascals '' dog ?
",ENTY:animal,ENTY,animal
142,"What city boasts Penn 's Landing , on the banks of the Delaware river ?
",LOC:city,LOC,city
143,"What Broadway musical was inspired by Cervantes 's Don Quixote ?
",ENTY:cremat,ENTY,cremat
144,"What is the origin of the word , JJ .
",DESC:desc,DESC,desc
145,"How many hostages were killed in the Entebbe raid ?
",NUM:count,NUM,count
146,"How you can raise your IQ ?
",DESC:manner,DESC,manner
147,"What does INRI stand for when used on Jesus ' cross ?
",ABBR:exp,ABBR,exp
148,"Who produces Spumante ?
",HUM:gr,HUM,gr
149,"Who earns their money the hard way ?
",HUM:ind,HUM,ind
150,"Who founded the People 's Temple Commune ?
",HUM:ind,HUM,ind
151,"What athlete makes the most money from sports merchandise sales ?
",HUM:ind,HUM,ind
152,"How many bends are there in a standard paper clip ?
",NUM:count,NUM,count
153,"Who discovered electricity ?
",HUM:ind,HUM,ind
154,"What part of your body contains the corpus callosum ?
",ENTY:body,ENTY,body
155,"Who was the first American in space ?
",HUM:ind,HUM,ind
156,"What two South American countries do n't border Brazil ?
",LOC:country,LOC,country
157,"What album put The Beatles on the cover of Time in 1967 ?
",ENTY:cremat,ENTY,cremat
158,"What poem contains the line , `` grow old with me the best is yet to be '' .
",ENTY:cremat,ENTY,cremat
159,"What is a dental root canal ?
",DESC:def,DESC,def
160,"What war did the Wanna-Go-Home Riots occur after ?
",ENTY:event,ENTY,event
161,"What is the busiest air travel season ?
",NUM:date,NUM,date
162,"What 's the colored part of the eye called ?
",ENTY:body,ENTY,body
163,"What are hook worms ?
",DESC:def,DESC,def
164,"Where is the Rose Bowl played ?
",LOC:other,LOC,other
165,"Which Japanese car maker had its biggest percentage of sale in the domestic market ?
",HUM:gr,HUM,gr
166,"Who is the mayor of Marbella ?
",HUM:ind,HUM,ind
167,"What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?
",LOC:other,LOC,other
168,"In what year did Thatcher become prime minister ?
",NUM:date,NUM,date
169,"How many months does it take the moon to revolve around the Earth ?
",NUM:count,NUM,count
170,"Where are the 49 steps ?
",LOC:other,LOC,other
171,"In what year was De Gaulle elected president of France ?
",NUM:date,NUM,date
172,"Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?
",HUM:ind,HUM,ind
173,"Who directed `` Jaws '' ?
",HUM:ind,HUM,ind
174,"On what T.V. show could Tom Terrific be found ?
",ENTY:cremat,ENTY,cremat
175,"What Indian tribe is F Troop perpetually doing battle with ?
",HUM:gr,HUM,gr
176,"Where did Indian Pudding come from ?
",DESC:desc,DESC,desc
177,"Why do some clothing labels say `` Use a nonchlorine bleach '' ?
",DESC:reason,DESC,reason
178,"How many colonies were involved in the American Revolution ?
",NUM:count,NUM,count
179,"What is the name of the city that Maurizio Pellegrin lives in ?
",LOC:city,LOC,city
180,"Where can I find pictorial directions on how to build a very simple treehouse ?
",LOC:other,LOC,other
181,"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?
",ENTY:sport,ENTY,sport
182,"What is the name of the managing director of Apricot Computer ?
",HUM:ind,HUM,ind
183,"What is the occupation of Nicholas Cage ?
",HUM:title,HUM,title
184,"Why do horseshoes bring luck ?
",DESC:reason,DESC,reason
185,"What is the 401 , K , plan ?
",DESC:def,DESC,def
186,"What causes pneumonia ?
",DESC:reason,DESC,reason
187,"What are the three winter months in the southern hemisphere ?
",NUM:date,NUM,date
188,"What does gringo mean ?
",DESC:def,DESC,def
189,"What country contains Africa 's northernmost point ?
",LOC:country,LOC,country
190,"What therapy attempts to elicit the `` primal scream '' ?
",ENTY:dismed,ENTY,dismed
191,"Where is the Kalahari desert ?
",LOC:other,LOC,other
192,"Which Ventura County police department seized the largest cocaine shipment in it 's history ?
",HUM:gr,HUM,gr
193,"What city is sometimes called Gotham ?
",LOC:city,LOC,city
194,"What dangles over the tongue from the palate ?
",ENTY:body,ENTY,body
195,"Who created Dennis the Menace ?
",HUM:ind,HUM,ind
196,"What dummy received an honorary degree from Northwestern University ?
",HUM:ind,HUM,ind
197,"When was the first Wall Street Journal published ?
",NUM:date,NUM,date
198,"What countries have the largest areas of forest ?
",LOC:country,LOC,country
199,"How do I start a web based business ?
",DESC:manner,DESC,manner
200,"Name Alvin 's brothers
",HUM:ind,HUM,ind
201,"What is Eagle 's syndrome styloid process ?
",DESC:def,DESC,def
202,"How did Jayne Mansfield die ?
",DESC:manner,DESC,manner
203,"When did the royal wedding of Prince Andrew and Fergie take place ?
",NUM:date,NUM,date
204,"What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?
",HUM:ind,HUM,ind
205,"What explorer was nicknamed Iberia 's Pilot ?
",HUM:ind,HUM,ind
206,"CNN began broadcasting in what year ?
",NUM:date,NUM,date
207,"What is a ball that hits the foul pole called ?
",ENTY:termeq,ENTY,termeq
208,"What makes hamburgers taste like steakburgers ?
",DESC:reason,DESC,reason
209,"Which company created the Internet browser Mosaic ?
",HUM:gr,HUM,gr
210,"What are the rites accompanying the circumcision of a newly born-child in Judaism called ?
",ENTY:event,ENTY,event
211,"What was the education system in the 1960 's ?
",ENTY:other,ENTY,other
212,"What South American city has the world 's highest commercial landing field ?
",LOC:city,LOC,city
213,"How can I find out which cities have cable-modem access ?
",DESC:manner,DESC,manner
214,"What is Betsy Ross famous for ?
",DESC:reason,DESC,reason
215,"How many species of sharks are there ?
",NUM:count,NUM,count
216,"What is `` snoogans '' ?
",DESC:def,DESC,def
217,"How many people are there in the world ?
",NUM:count,NUM,count
218,"What shrubs can be planted that will be safe from deer ?
",ENTY:plant,ENTY,plant
219,"What organization 's offices were broken into at Watergate in 1972 ?
",HUM:gr,HUM,gr
220,"What is the design of the ship Titanic ?
",DESC:desc,DESC,desc
221,"What does S.O.S. stand for ?
",ABBR:exp,ABBR,exp
222,"Name a technique widely used to detect birth defects ?
",ENTY:techmeth,ENTY,techmeth
223,"What is the daily requirement of folic acid for an expectant mother ?
",DESC:desc,DESC,desc
224,"What is the `` 7-minute cigarette '' ?
",DESC:def,DESC,def
225,"What four forms does gold occur in ?
",ENTY:other,ENTY,other
226,"What is the acreage of the Chappellet vineyard ?
",NUM:volsize,NUM,volsize
227,"How do you correctly say the word ` qigong ' ?
",DESC:manner,DESC,manner
228,"When did beethoven die ?
",NUM:date,NUM,date
229,"How much does a new railroad coal car cost ?
",NUM:money,NUM,money
230,"What two European countries entered the War of American Independence against the British ?
",LOC:country,LOC,country
231,"What is the filmmakers collabrative ?
",DESC:def,DESC,def
232,"What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?
",HUM:ind,HUM,ind
233,"What caused Harry Houdini 's death ?
",DESC:reason,DESC,reason
234,"Who was the mother of the man who would not be king , the duke of Windsor ?
",HUM:ind,HUM,ind
235,"How many revolutions does a standard LP make in three minutes ?
",NUM:count,NUM,count
236,"What is the name of the tallest mountain in the world ?
",LOC:mount,LOC,mount
237,"Where can I find a review of Nightmare on Elm Street in a film journal ?
",LOC:other,LOC,other
238,"What 's the slowest Olympic swimming stroke ?
",ENTY:techmeth,ENTY,techmeth
239,"What was the name of the first Russian astronaut to do a spacewalk ?
",HUM:ind,HUM,ind
240,"What disease is transmitted by the Anopheles mosquito ?
",ENTY:dismed,ENTY,dismed
241,"What rum is so `` mixable '' it is a one-brand bar ?
",ENTY:food,ENTY,food
242,"How many South American countries have the letter Z in their names ?
",NUM:count,NUM,count
243,"What is the contents of proposition 98 ?
",DESC:def,DESC,def
244,"Where was George Washington born ?
",LOC:other,LOC,other
245,"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .
",NUM:count,NUM,count
246,"Who wrote NN DT NNP NNP '' ?
",HUM:ind,HUM,ind
247,"What is paracetamol ?
",DESC:def,DESC,def
248,"What are the powers and weaknesses of Green Lantern 's ring ?
",DESC:desc,DESC,desc
249,"Which mosquito 's bite draws blood , DT NN CC DT NN .
",ENTY:animal,ENTY,animal
250,"When was the first steel mill in the United States built ?
",NUM:date,NUM,date
251,"What diminutive American female gymnast stole the show at the 1984 Olympics ?
",HUM:ind,HUM,ind
252,"What is the origin of the name Katie ?
",DESC:desc,DESC,desc
253,"What schools in the Washington , DC NN NN VBP NN NN NN NN .
",HUM:gr,HUM,gr
254,"When did the Berlin Wall go up ?
",NUM:date,NUM,date
255,"Who is Terrence Malick ?
",HUM:desc,HUM,desc
256,"What instrument is Ray Charles best known for playing ?
",ENTY:instru,ENTY,instru
257,"What 's the meaning of the Latin battle cry : Ad arma , ad arma .
",DESC:def,DESC,def
258,"What is the mascot for Notre Dame University ?
",ENTY:other,ENTY,other
259,"What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?
",LOC:other,LOC,other
260,"When did Mount St. Helen last have a significant eruption ?
",NUM:date,NUM,date
261,"CNN is the abbreviation for what ?
",ABBR:exp,ABBR,exp
262,"When did World War I start ?
",NUM:date,NUM,date
263,"How many feet are there in a fathom ?
",NUM:count,NUM,count
264,"What is a Canada two-penny black ?
",DESC:def,DESC,def
265,"What European city do Nicois live in ?
",LOC:city,LOC,city
266,"How can I find out what year a Beanie Baby was introduced ?
",DESC:manner,DESC,manner
267,"What is the classic definition of tragic hero ?
",DESC:def,DESC,def
268,"To what does Microsoft 's Windows 3 owe its success ?
",ENTY:other,ENTY,other
269,"Who was President of Afghanistan in 1994 ?
",HUM:ind,HUM,ind
270,"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?
",ENTY:techmeth,ENTY,techmeth
271,"What did brontosauruses eat ?
",ENTY:food,ENTY,food
272,"What color bottles do good Rhine wines come in ?
",ENTY:color,ENTY,color
273,"Who was the lead actress in the movie ` Sleepless in Seattle ' ?
",HUM:ind,HUM,ind
274,"Who was the 16th President of the United States ?
",HUM:ind,HUM,ind
275,"Who are the two sons of Ozzie and Harriet Nelson ?
",HUM:ind,HUM,ind
276,"What is molybdenum ?
",DESC:def,DESC,def
277,"When is Boxing Day ?
",NUM:date,NUM,date
278,"What is the lowest level of the American judiciary ?
",ENTY:other,ENTY,other
279,"When was the battle of the Somme fought ?
",NUM:date,NUM,date
280,"How many people did Randy Craft kill ?
",NUM:count,NUM,count
281,"What 's the official animal of Canada ?
",ENTY:animal,ENTY,animal
282,"When did Spielberg direct `` Jaws '' ?
",NUM:date,NUM,date
283,"What is the size of the largest akita ?
",NUM:volsize,NUM,volsize
284,"What animal has the biggest eyes ?
",ENTY:animal,ENTY,animal
285,"What is California 's capital ?
",LOC:city,LOC,city
286,"Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?
",HUM:ind,HUM,ind
287,"Who was the founding member of the Pink Floyd band ?
",HUM:ind,HUM,ind
288,"What European country is home to the beer-producing city of Budweis ?
",LOC:country,LOC,country
289,"How do I find the balance of my social security account ?
",DESC:manner,DESC,manner
290,"What is the history of Valentine 's Day cards ?
",DESC:desc,DESC,desc
291,"Where was Christopher Columbus born ?
",LOC:other,LOC,other
292,"What do Italians call Florence ?
",ENTY:termeq,ENTY,termeq
293,"How do you get to the top of the Eiffel Tower ?
",DESC:manner,DESC,manner
294,"What does ` PSI ' stand for ?
",ABBR:exp,ABBR,exp
295,"What sea did the Romans call mare nostrum ?
",LOC:other,LOC,other
296,"What 's the term for a bet before cards are dealt ?
",ENTY:termeq,ENTY,termeq
297,"Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?
",ENTY:animal,ENTY,animal
298,"What city did the Flintstones live in ?
",LOC:city,LOC,city
299,"What is Latin for incompetent ?
",ENTY:termeq,ENTY,termeq
300,"What chemicals are used in lethal injection ?
",ENTY:dismed,ENTY,dismed
301,"What toy company is the world 's No.1 maker of female apparel ?
",HUM:gr,HUM,gr
302,"What board game does a `` wood-pusher '' play poorly ?
",ENTY:sport,ENTY,sport
303,"Which Doonesbury character was likely to turn into a werewolf ?
",HUM:ind,HUM,ind
304,"What is the abbreviation for micro ?
",ABBR:abb,ABBR,abb
305,"What are the 7 articles of the constitution ?
",ENTY:other,ENTY,other
306,"Who has won the most Super Bowls ?
",HUM:gr,HUM,gr
307,"What does NASDAQ stand for ?
",ABBR:exp,ABBR,exp
308,"What is BPH ?
",ABBR:exp,ABBR,exp
309,"What is the fastest commercial automobile that can be bought in the US ?
",ENTY:other,ENTY,other
310,"What stadium do the Miami Dolphins play their home games in ?
",LOC:other,LOC,other
311,"Who has the only speaking role in `` Silent Movie '' ?
",HUM:ind,HUM,ind
312,"Why is poop sometimes different colors ?
",DESC:reason,DESC,reason
313,"What was Einstein 's IQ ?
",NUM:other,NUM,other
314,"What day was Pearl Harbor attacked in 1942 ?
",NUM:date,NUM,date
315,"What girl 's name is `` Teddy '' an affectionate form of ?
",HUM:ind,HUM,ind
316,"What state is John F. Kennedy buried in ?
",LOC:state,LOC,state
317,"What is the best way to remove wallpaper ?
",ENTY:techmeth,ENTY,techmeth
318,"What U.S. state has an element named for it ?
",LOC:state,LOC,state
319,"What company tabulates the ballots in voting for the Academy Awards ?
",HUM:gr,HUM,gr
320,"How did the tradition of best man start ?
",DESC:manner,DESC,manner
321,"How many years ago did the ship Titanic sink ?
",NUM:count,NUM,count
322,"What is the deepest area of the Arctic Ocean ?
",LOC:other,LOC,other
323,"What are Halloween 's colors ?
",ENTY:color,ENTY,color
324,"How is silk screening done ?
",DESC:manner,DESC,manner
325,"What is the latitude and longitude of El Paso , Texas ?
",NUM:other,NUM,other
326,"Who made a boat out of gopher wood ?
",HUM:ind,HUM,ind
327,"Where can I find a `` Fifth Element '' screensaver ?
",LOC:other,LOC,other
328,"Which Bloom County resident wreaks havoc with a computer ?
",HUM:ind,HUM,ind
329,"How do you match a name to a social security number ?
",DESC:manner,DESC,manner
330,"How does a rainbow form ?
",DESC:manner,DESC,manner
331,"What is the normal resting heart rate of a healthy adult ?
",NUM:other,NUM,other
332,"What is the population of Ohio ?
",NUM:other,NUM,other
333,"How many calories are there in a Big Mac ?
",NUM:count,NUM,count
334,"Hazmat stands for what ?
",DESC:def,DESC,def
335,"What creature scares people in the film `` Jaws '' ?
",ENTY:animal,ENTY,animal
336,"What part did John Peter Zenger play in the deveopment of the newspaper in America ?
",HUM:ind,HUM,ind
337,"Who followed Caesar ?
",HUM:ind,HUM,ind
338,"What are the four elements ?
",ENTY:substance,ENTY,substance
339,"Who was the first woman golfer to earn a million ?
",HUM:ind,HUM,ind
340,"What 's the tallest piece on a chessboard ?
",ENTY:other,ENTY,other
341,"What is Answers.com 's address ?
",LOC:other,LOC,other
342,"Where can I buy movies on videotape online ?
",LOC:other,LOC,other
343,"Who does the advertizing for Frito-Lay ?
",HUM:ind,HUM,ind
344,"Who is the leading competitor of Trans Union Company ?
",HUM:gr,HUM,gr
345,"What product did Robert Conrad dare people to knock off his shoulder ?
",ENTY:product,ENTY,product
346,"Who invented the radio ?
",HUM:ind,HUM,ind
347,"What 's the American dollar equivalent for 8 pounds in the U.K. ?
",NUM:count,NUM,count
348,"What are the different approaches of systems analysis ?
",ENTY:techmeth,ENTY,techmeth
349,"How do doctors diagnose bone cancer ?
",DESC:manner,DESC,manner
350,"Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?
",HUM:ind,HUM,ind
351,"What is the speed of the Mississippi River ?
",NUM:speed,NUM,speed
352,"What are the developmental stages of a swimmer ?
",ENTY:other,ENTY,other
353,"What actor first portrayed James Bond ?
",HUM:ind,HUM,ind
354,"What ocean is the largest in the world ?
",LOC:other,LOC,other
355,"Who was the first American poet to win the Nobel Prize for literature , in 1948 ?
",HUM:ind,HUM,ind
356,"What year did Jack Nicklaus join the Professional Golfers Association tour ?
",NUM:date,NUM,date
357,"How many sonnets did Shakespeare write ?
",NUM:count,NUM,count
358,"What causes the redness in your cheeks when you blush ?
",DESC:reason,DESC,reason
359,"Who won the Nobel Peace Prize in 1991 ?
",HUM:ind,HUM,ind
360,"Who are the Challengers of the Unknown ?
",HUM:gr,HUM,gr
361,"Define the Pheonix Club ?
",DESC:def,DESC,def
362,"Which city did Christian Crusaders fight to recapture from the Muslims ?
",LOC:city,LOC,city
363,"What does it mean `` Rupee Depreciates '' ?
",DESC:def,DESC,def
364,"What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?
",ENTY:other,ENTY,other
365,"Who was the first coach of the Cleveland Browns ?
",HUM:ind,HUM,ind
366,"How successful is arometherapy ?
",DESC:manner,DESC,manner
367,"What Jewish holiday saw the start of the 1973 Mideast War ?
",ENTY:event,ENTY,event
368,"How does a copier work ?
",DESC:manner,DESC,manner
369,"What is the speed of the Mississippi River ?
",NUM:speed,NUM,speed
370,"Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?
",HUM:ind,HUM,ind
371,"What is Dudley Do-Right 's horse 's name ?
",ENTY:animal,ENTY,animal
372,"Who declared : `` I am down on whores and I shan 't stop ripping them '' ?
",HUM:ind,HUM,ind
373,"Where does chocolate come from ?
",LOC:other,LOC,other
374,"What TV game show once saw a contestant admit to picking his toes in the shower ?
",ENTY:cremat,ENTY,cremat
375,"What Soviet leader owned a Rolls-Royce ?
",HUM:ind,HUM,ind
376,"Where can I find a case on Individuals with Disabilities Education Act of 1991 ?
",LOC:other,LOC,other
377,"What war did Florence Nightingale tend the troops in ?
",ENTY:event,ENTY,event
378,"Who wrote the song , `` Stardust '' ?
",HUM:ind,HUM,ind
379,"How many Beatles ' records went #1 ?
",NUM:count,NUM,count
380,"Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?
",HUM:ind,HUM,ind
381,"What is the abbreviation of the company name ` General Motors ' ?
",ABBR:abb,ABBR,abb
